UID,stateName,date,positiveIncrease,deathIncrease,positive,death,population,Lat,Long_,rt,rt_lower,rt_upper,cases_lag,case_rate,case_lower,case_upper,death_rate,death_lower,death_upper
84000035,New Mexico,2020-04-22,239,13,2210,71,2096829,34.8405,-106.2485,1.12031668610043,1.07490911854354,1.16764241320761,132.48836590437,6.52628253090866e-05,6.19760828478001e-05,6.87238717197426e-05,3.28649933771866e-06,3.11132831520941e-06,3.47153267111839e-06
84000035,New Mexico,2020-04-23,169,7,2379,78,2096829,34.8405,-106.2485,1.11212930607748,1.06782542743352,1.15827134441729,135.585557725783,6.6217302559783e-05,6.29341439540163e-05,6.96717375149746e-05,3.39151390473682e-06,3.21146811917613e-06,3.58165366716268e-06
84000035,New Mexico,2020-04-24,142,6,2521,84,2096829,34.8405,-106.2485,1.10420762552973,1.06114231813292,1.14902069161026,146.845680637376,6.71015640905877e-05,6.38388566924815e-05,7.0531023528395e-05,3.48620880039542e-06,3.30025295922949e-06,3.68264249743813e-06
84000035,New Mexico,2020-04-25,139,9,2660,93,2096829,34.8405,-106.2485,1.09641063677095,1.05468454754246,1.13978751961953,161.835854044448,6.79142523602363e-05,6.46865217124983e-05,7.13030404409376e-05,3.57021766499179e-06,3.37863584528453e-06,3.77266292051253e-06
84000035,New Mexico,2020-04-26,66,6,2726,99,2096829,34.8405,-106.2485,1.08874853279334,1.04841632331909,1.13063230826755,171.315449326633,6.86543257175155e-05,6.54730135923608e-05,7.19902167490371e-05,3.64333635570044e-06,3.44733883337939e-06,3.85047726444583e-06
84000035,New Mexico,2020-04-27,99,0,2825,99,2096829,34.8405,-106.2485,1.08135853043368,1.04242013595405,1.1217514234522,169.728717402447,6.93210557323385e-05,6.61938851080806e-05,7.2595961998601e-05,3.70551760159969e-06,3.50687055888218e-06,3.91541702643906e-06
84000035,New Mexico,2020-04-28,149,6,2974,105,2096829,34.8405,-106.2485,1.07437171373747,1.03677054695133,1.11333658413945,161.507979554038,6.99140223701423e-05,6.68445007621831e-05,7.31244974266919e-05,3.75686249990398e-06,3.55757823742044e-06,3.96731003544104e-06
84000035,New Mexico,2020-04-29,239,7,3213,112,2096829,34.8405,-106.2485,1.06780129103753,1.0314282556473,1.10545701157455,155.572589558873,7.04331071452305e-05,6.74202212740264e-05,7.35806333528404e-05,3.79760939747875e-06,3.5996972786806e-06,4.00640276648624e-06
84000035,New Mexico,2020-04-30,198,11,3411,123,2096829,34.8405,-106.2485,1.06155506944721,1.02625430649129,1.09807009660392,153.931342814922,7.0878484403491e-05,6.79166567022973e-05,7.39694766389463e-05,3.82812073508742e-06,3.6333886920762e-06,4.03328947281783e-06
84000035,New Mexico,2020-05-01,102,8,3513,131,2096829,34.8405,-106.2485,1.05554221520148,1.02111650726562,1.09112854424027,152.208398790361,7.12506108970137e-05,6.83299925362521e-05,7.42960647991327e-05,3.84886843836921e-06,3.65876569883391e-06,4.04884856677102e-06
84000035,New Mexico,2020-05-02,219,7,3732,138,2096829,34.8405,-106.2485,1.04974792353398,1.01596589680085,1.08465324124941,151.933664522366,7.15502138224974e-05,6.86573679110147e-05,7.45649484361282e-05,3.86041842258396e-06,3.67591484057044e-06,4.05418271200019e-06
84000035,New Mexico,2020-05-03,118,13,3850,151,2096829,34.8405,-106.2485,1.04415561118262,1.01076560119394,1.07864863928522,153.243555131132,7.17782775020604e-05,6.88972523926353e-05,7.47797762935685e-05,3.86341474172323e-06,3.68491834050099e-06,4.05055745808876e-06
84000035,New Mexico,2020-05-04,181,5,4031,156,2096829,34.8405,-106.2485,1.0387423372741,1.00548924460264,1.07309516142271,153.258695812339,7.19360288891782e-05,6.90497420347691e-05,7.49429628533439e-05,3.85856386110368e-06,3.68588493440111e-06,4.03933257146956e-06
84000035,New Mexico,2020-05-05,107,6,4138,162,2096829,34.8405,-106.2485,1.03351855133696,1.0001603095035,1.06798938710926,149.566642558526,7.20249220841447e-05,6.91166961156439e-05,7.50555175922674e-05,3.84661947053086e-06,3.67899482089171e-06,4.02188153868638e-06
84000035,New Mexico,2020-05-06,153,7,4291,169,2096829,34.8405,-106.2485,1.02851786467118,0.994840768931258,1.06333498885876,143.646053183963,7.2046622042782e-05,6.91016723801992e-05,7.51170784871317e-05,3.82836818686608e-06,3.6645584877705e-06,3.99950035539619e-06
84000035,New Mexico,2020-05-07,202,3,4493,172,2096829,34.8405,-106.2485,1.0237497745128,0.98958194959482,1.05909733018487,142.74389564206,7.20029876593261e-05,6.90096769615815e-05,7.51261339008338e-05,3.80461642427945e-06,3.64307820482832e-06,3.97331743159191e-06
84000035,New Mexico,2020-05-08,180,9,4673,181,2096829,34.8405,-106.2485,1.01914236047557,0.984364905104706,1.05514849780756,147.848109809703,7.18960543996618e-05,6.88467950662044e-05,7.50803669694207e-05,3.77617864103163e-06,3.61529006742257e-06,3.94422711955432e-06
84000035,New Mexico,2020-05-09,105,10,4778,191,2096829,34.8405,-106.2485,1.01461683645979,0.979168382149099,1.05134861745455,151.488213368744,7.17280166545832e-05,6.86197861147965e-05,7.49770389052664e-05,3.74386710608712e-06,3.58216439854122e-06,3.91286924568542e-06
84000035,New Mexico,2020-05-10,85,9,4863,200,2096829,34.8405,-106.2485,1.01019774369288,0.97407150398668,1.04766382876975,149.408199497252,7.15012099747354e-05,6.8335711363825e-05,7.48133432113149e-05,3.70848326937866e-06,3.54485859803363e-06,3.87966057853205e-06
84000035,New Mexico,2020-05-11,206,8,5069,208,2096829,34.8405,-106.2485,1.00595875021001,0.96919842986711,1.04411333730991,145.903241416191,7.12180933395796e-05,6.80016298984284e-05,7.4586694855711e-05,3.67081076763471e-06,3.50463874318928e-06,3.84486181863086e-06
84000035,New Mexico,2020-05-12,143,11,5212,219,2096829,34.8405,-106.2485,1.00190604100887,0.964604103095887,1.04065047182396,143.051596409988,7.08812316023299e-05,6.76243684644533e-05,7.42949488113012e-05,3.63161005429869e-06,3.46279681377795e-06,3.8086530327185e-06
84000035,New Mexico,2020-05-13,152,12,5364,231,2096829,34.8405,-106.2485,0.998009299051759,0.960303155279577,1.03719596829171,138.482706623163,7.04932782415644e-05,6.72103508868641e-05,7.39365620275885e-05,3.59161460764276e-06,3.42058405100766e-06,3.77119675981439e-06
84000035,New Mexico,2020-05-14,139,11,5503,242,2096829,34.8405,-106.2485,0.994270003036905,0.956334825552938,1.0337099648833,132.57153054437,7.00569585383391e-05,6.67654636704397e-05,7.35107220084441e-05,3.55152864572959e-06,3.37916714891558e-06,3.73268180163437e-06
84000035,New Mexico,2020-05-15,159,11,5662,253,2096829,34.8405,-106.2485,0.990693214074038,0.952734871756957,1.03016387193049,128.27596187464,6.9575053285324e-05,6.62949314091121e-05,7.30174681045124e-05,3.5118933841852e-06,3.33941854132432e-06,3.69327623634524e-06
84000035,New Mexico,2020-05-16,185,6,5847,259,2096829,34.8405,-106.2485,0.987253841778541,0.949494371524403,1.02651492977432,128.324927984093,6.90512535155965e-05,6.58033613227834e-05,7.24594536848426e-05,3.47270058806794e-06,3.30135699573039e-06,3.65293707707589e-06
84000035,New Mexico,2020-05-17,91,6,5938,265,2096829,34.8405,-106.2485,0.983915655889683,0.946554882460938,1.02275106900077,130.233266501936,6.84927000967367e-05,6.52952193522022e-05,7.1846760192916e-05,3.43381229877057e-06,3.2647286258613e-06,3.61165299001761e-06
84000035,New Mexico,2020-05-18,158,5,6096,270,2096829,34.8405,-106.2485,0.980684631749492,0.943884277652785,1.01891976561074,132.415275552782,6.79072483827802e-05,6.47744035296354e-05,7.11916147681826e-05,3.3950965813255e-06,3.22922175962792e-06,3.56949186353069e-06
84000035,New Mexico,2020-05-19,96,6,6192,276,2096829,34.8405,-106.2485,0.977599524573189,0.941476903630752,1.01510809958282,133.761472729823,6.7302551573307e-05,6.42442134862505e-05,7.05064814786327e-05,3.35642743192007e-06,3.19448681567944e-06,3.52657743035619e-06
