stateName	date	positiveIncrease	deathIncrease	positive	death	population	interval_start	mean_rt	std_rt	ci_lower	ci_upper
Alabama	2020-03-08	0	0	0	0	4903185	2020-03-02	5	5	0.126589039921449	18.4443972705697
Alabama	2020-03-09	0	0	0	0	4903185	2020-03-03	5	5	0.126589039921449	18.4443972705697
Alabama	2020-03-10	0	0	0	0	4903185	2020-03-04	5	5	0.126589039921449	18.4443972705697
Alabama	2020-03-11	0	0	0	0	4903185	2020-03-05	5	5	0.126589039921449	18.4443972705697
Alabama	2020-03-12	0	0	0	0	4903185	2020-03-06	5	5	0.126589039921449	18.4443972705697
Alabama	2020-03-13	5	0	5	0	4903185	2020-03-07	30	12.2474487139159	11.0094712674543	58.3416603966133
Alabama	2020-03-14	2	0	7	0	4903185	2020-03-08	7.1522209622313	2.52869197146916	3.0878213618212	12.8942701316781
Alabama	2020-03-15	4	0	11	0	4903185	2020-03-09	4.84612973113375	1.39895715239896	2.50406594870888	7.94847600071934
Alabama	2020-03-16	18	0	29	0	4903185	2020-03-10	7.06239947215902	1.28941183367136	4.76497126683067	9.80469091807702
Alabama	2020-03-17	10	0	39	0	4903185	2020-03-11	4.40615588096876	0.696674415480351	3.14782236021251	5.87277613487693
Alabama	2020-03-18	12	0	51	0	4903185	2020-03-12	3.34395776931863	0.46372350770248	2.49742760622919	4.31213523693215
Alabama	2020-03-19	27	0	78	0	4903185	2020-03-13	3.45583033430692	0.388811289678186	2.73601341995099	4.25843730784368
Alabama	2020-03-20	28	0	106	0	4903185	2020-03-14	3.01488884696837	0.298518478417351	2.45828155165568	3.62744792442272
Alabama	2020-03-21	25	0	131	0	4903185	2020-03-15	2.61886179238633	0.234238119658111	2.17991749056666	3.0974706031222
Alabama	2020-03-22	26	0	157	0	4903185	2020-03-16	2.32194676824871	0.191510941670339	1.96176941713364	2.71203106378254
Alabama	2020-03-23	39	0	196	0	4903185	2020-03-17	2.09842253549497	0.16189681343141	1.79310157299866	2.42739438673326
Alabama	2020-03-24	46	0	242	0	4903185	2020-03-18	2.09202089841962	0.146470759971369	1.81477645839771	2.38868459488017
Alabama	2020-03-25	139	1	381	1	4903185	2020-03-19	2.79868851644623	0.153829833124717	2.50527412900516	3.10811625515578
Alabama	2020-03-26	136	0	517	1	4903185	2020-03-20	2.76380887280142	0.131759418202059	2.51156508773574	3.02794957419616
Alabama	2020-03-27	70	3	587	4	4903185	2020-03-21	2.21934805632989	0.101088533925228	2.02561469420654	2.42180236551741
Alabama	2020-03-28	107	0	694	4	4903185	2020-03-22	2.06806484608768	0.0870812391511439	1.90088785497822	2.24218695717862
Alabama	2020-03-29	131	6	825	10	4903185	2020-03-23	2.0268630876771	0.0783630542750749	1.87616373213172	2.18330098702486
Alabama	2020-03-30	74	0	899	10	4903185	2020-03-24	1.77299500853222	0.0668222636190267	1.64442721803561	1.90633304289863
Alabama	2020-03-31	88	13	987	23	4903185	2020-03-25	1.62388603200175	0.0594546918413023	1.50943223373261	1.74246294051258
Alabama	2020-04-01	73	4	1060	27	4903185	2020-03-26	1.32067173402003	0.0506454490876856	1.22326061356933	1.42176151854653
Alabama	2020-04-02	173	5	1233	32	4903185	2020-03-27	1.3098548792633	0.0489174268635239	1.21572035051787	1.40744968256948
Alabama	2020-04-03	262	6	1495	38	4903185	2020-03-28	1.58039769434376	0.0524184827064719	1.47931587082368	1.68477271891473
